"Source:","/Users/diegofigueroa/Documents/GitHub/bibliotecas_autoprestamo_UNAL/Sensibilizador_PCB/BookSensitizer.kicad_sch"
"Date:","2022 June 02, Thursday 15:05:15"
"Tool:","Eeschema (6.0.5-0)"
"Generator:","/Applications/KiCad/KiCad.app/Contents/SharedSupport/plugins/bom_csv_grouped_by_value_with_fp.py"
"Component Count:","37"
"Ref","Qnty","Value","Cmp name","Footprint","Description","Vendor"
"C1, C4, ","2","1uF 50V","C_Polarized","Capacitor_SMD:C_Elec_4x5.4","Polarized capacitor",""
"C2, C5, ","2","100nF 50V","C_Polarized","Capacitor_SMD:C_0603_1608Metric_Pad1.08x0.95mm_HandSolder","Polarized capacitor",""
"C3, C6, ","2","10nF  25V","C_Polarized","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","Polarized capacitor",""
"D1, D2, D3, D4, ","4","F10L60u","D","Package_TO_SOT_THT:TO-220-2_Vertical","Diode",""
"D5, D6, D7, D8, ","4","SS34FA","D","Diode_SMD:D_SOD-123","Diode",""
"F1, ","1","Fuse","Fuse","Connector:porta_fusible","Fuse",""
"J3, ","1","Conn_inputs","Conn_01x04_Male","Connector_JST:JST_EH_S4B-EH_1x04_P2.50mm_Horizontal","Generic connector, single row, 01x04, script generated (kicad-library-utils/schlib/autogen/connector/)",""
"L1, ","1","L","L","Connector:conector Faston","Inductor",""
"M1, ","1","Fan","Fan","Connector_JST:JST_EH_B2B-EH-A_1x02_P2.50mm_Vertical","Fan",""
"Q1, Q2, Q3, Q4, ","4","IRF630","Q_NMOS_GDS","Package_TO_SOT_THT:TO-220-3_Vertical","N-MOSFET transistor, gate/drain/source",""
"Q5, ","1","SI2302","Q_NMOS_GSD","Package_TO_SOT_SMD:SOT-23","N-MOSFET transistor, gate/source/drain",""
"R1, R5, ","2","R","R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","Resistor",""
"R2, R3, R4, R6, R7, R8, R9, R10, ","8"," 2.74 1/4W","R","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","Resistor",""
"U1, U2, ","2","LM5104M","LM5104M","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","",""
"Vin_J2, ","1","Jack_in","Jack-DC","Connector_BarrelJack:BarrelJack_Horizontal","DC Barrel Jack",""
"Vout_J1, ","1","Jack_out","Jack-DC","Connector_BarrelJack:BarrelJack_Horizontal","DC Barrel Jack",""
